id,tratamiento,edad,escolaridad,tamano_hogar,zona_rural,linea_base_consumo,comidas_dia,dias_sin_comida,variedad_dieta,gasto_alimentos,come_proteina,reservas_grano,consumo_total,consumo_no_alimentario,gasto_salud,gasto_educacion,gasto_vestido,valor_activos,tiene_refrigerador,tiene_bicicleta,num_animales,valor_herramientas,tiene_celular,calidad_vivienda,tiene_tierra,valor_ahorro,indice_estres,dias_ansiedad,satisfaccion_vida,calidad_sueno,apoyo_social,autoeficacia,optimismo_futuro,dias_animo_bajo,concentracion,energia_diaria,relaciones_familiares,sentido_control,ingreso_mensual,ingreso_laboral,ingreso_negocio,ventas_mes,horas_trabajadas,num_empleos,estabilidad_empleo,anios_escolaridad_hijos,asistencia_escolar,gasto_utiles,tareas_supervisadas,dias_falta_escuela,repitio_anio,calificacion_promedio,libros_hogar,horas_estudio,inscrito_secundaria
11,1,38,9,3,1,1538,30.46,4,46.81,1248,NA,NA,848,2093,1135,1568,1184,NA,0,0,4,NA,0,53.19,0,2602,48.56,5,28.08,44.49,40.59,36.52,NA,4,67.86,37.06,52.95,52.57,707,NA,778,721,59.1,4,49.08,55.15,0,1514,48.28,2,0,44.4,1,46.47,0
12,0,33,0,4,0,1494,NA,5,36.13,1708,0,61.6,4608,734,2354,628,1831,1134,1,0,3,496,0,41.23,1,NA,64.49,6,NA,48.86,35.1,33.93,54.08,4,48.2,62.05,56.92,65.4,1412,752,NA,974,42.98,2,28.24,27.65,0,757,53.55,NA,1,38.39,0,NA,1
13,0,53,10,6,1,1068,59.53,3,55.89,730,1,54.8,843,2122,1211,3016,1464,1295,1,NA,3,505,1,45.94,0,1098,37.29,3,NA,52.77,NA,52.97,41.97,NA,56.16,60.36,44.73,43.53,NA,NA,NA,1349,36.34,4,45.98,59.28,1,1361,59.3,4,0,42.74,4,58.87,1
14,0,30,16,5,0,4057,36.4,3,NA,2621,1,42.12,1178,814,588,3918,1386,4063,0,1,5,2414,1,59.3,1,6317,59.82,3,38.61,NA,47.78,30.76,66.16,3,NA,25.22,NA,54.4,731,1247,1148,2180,63.66,3,65.68,51.79,1,1057,59.55,4,1,50.43,3,55.69,0
15,0,27,15,2,1,5274,39.49,4,44.11,946,0,39.77,1298,2685,4058,3561,4061,764,1,0,0,NA,0,36.45,NA,940,33.08,0,60.28,52.21,53.95,54.08,69.8,3,45.95,51.18,53.14,55.06,NA,2812,2326,2254,41.11,6,40.8,37.17,1,1207,40.69,4,1,38.2,2,43.95,NA
16,0,40,14,4,1,1232,48.39,1,52.69,2422,1,63.22,1373,2316,1633,1937,1992,1261,1,1,3,1727,1,NA,0,NA,49.37,3,27.71,60.45,37.5,45.95,18.28,NA,44.29,44.05,57.62,38.84,423,1311,724,1353,77.21,NA,49.44,60.6,0,2548,63.99,1,0,66.13,5,63.49,0
17,1,62,13,8,1,2385,NA,3,52.7,1785,NA,51.75,1723,1860,3253,4577,4294,NA,0,0,3,NA,1,55.46,0,NA,35.56,2,41.91,58.19,50.69,53.69,NA,2,67.03,58.29,49.53,73.11,2252,2790,1771,1212,53.51,4,46,59.36,1,2696,38.15,NA,NA,44.06,3,55.77,1
18,0,51,5,5,0,1977,53.41,NA,NA,3810,0,56.58,887,1487,2256,956,2112,2319,1,0,3,854,0,53.24,0,NA,55.06,0,52.14,58.87,57.32,43.7,NA,4,40.82,48.27,50.08,53.63,2744,4570,NA,5841,67.48,NA,55.85,NA,NA,3242,58.4,3,0,60.46,4,59.19,1
19,0,24,6,6,1,1710,50.49,0,56.63,3121,1,66.7,989,1552,870,907,1218,984,0,1,4,1319,1,61.58,NA,1188,32.87,0,40.26,62.4,28.82,56.47,53.93,4,50.53,60.88,48.79,66.97,874,631,497,483,46.83,4,59.06,41.47,0,578,32.98,4,0,36.39,0,40.13,1
20,1,40,2,7,0,839,43.92,1,43.16,797,0,45.39,NA,573,NA,548,365,NA,0,0,2,1051,1,43.24,0,2119,58.86,0,38.82,44.42,48.87,38.2,48.02,4,37.23,64.11,31.73,33.35,2250,1294,574,845,65.28,6,59.32,54.35,0,1328,54.06,2,NA,NA,4,72.64,1
21,1,36,14,4,1,4080,63.58,1,62.64,2411,0,65.48,2012,2004,2784,3518,1519,6446,1,1,5,NA,1,55.99,1,NA,54.76,3,66.82,66.01,62.28,48.08,NA,2,71.03,81.37,43.16,NA,358,1300,816,1107,91.52,5,68.94,68.04,1,3285,64.92,0,0,66.24,7,62.82,0
22,1,50,15,5,0,3241,77.24,4,53.92,1775,0,50.06,NA,1789,1568,2256,1114,NA,1,1,3,NA,NA,55.03,0,1032,44.02,2,21.94,59.65,42.51,45.58,43.04,2,46.52,52.97,48.36,44.54,858,1181,NA,986,50.89,NA,62.72,71.23,0,1220,53.31,2,0,57.91,6,61.56,1
23,1,40,7,5,0,1176,NA,4,31.35,1385,0,NA,NA,807,NA,1288,1729,331,0,0,0,1073,0,49.45,0,568,43.02,5,57.02,32.83,55.66,58.17,45.51,3,55.83,42.79,33.86,62.92,1020,1097,905,1713,43.71,4,52.96,39.8,1,273,27.47,3,1,54.79,4,38.92,1
24,0,44,2,7,1,830,46.06,4,38.39,1045,0,58.75,2355,910,1178,NA,1196,750,0,0,3,1028,0,40.04,1,1350,45.96,2,54.99,44.09,50.64,60.47,58.62,4,33.36,39.87,NA,45.87,NA,424,573,543,41.36,0,40.85,27.42,1,1457,49.89,NA,1,35.89,2,45.3,0
25,0,53,2,3,0,1811,41.56,2,61.83,1754,0,48.51,902,654,972,670,1800,2592,0,1,8,1811,1,50.35,1,2894,56.3,2,NA,52.61,56.42,61.79,43.91,4,47.43,53.31,54.28,36.84,893,576,1203,951,NA,4,51.11,35.54,0,1776,42.7,3,1,48.78,3,47.21,0
26,0,32,5,5,1,1398,33.95,2,53.9,1206,0,40.9,1498,1598,1855,791,1953,2184,0,1,2,1605,1,53.5,0,1212,64.94,4,64.17,53.61,55.76,51.2,53.66,3,45,50.96,43.21,52.42,1491,NA,2979,2440,37.35,2,38.8,48.17,NA,545,43.11,4,NA,39.74,NA,39.09,1
27,0,43,4,3,0,1463,53.61,4,50.6,802,1,39.66,293,776,NA,NA,2721,1014,0,0,3,1047,0,64.35,1,1494,32.16,2,49.32,45.94,NA,47.48,52.85,5,62.22,58.38,38.5,53.96,824,1340,1129,938,54.63,NA,53.27,NA,0,2104,58.05,NA,1,65.16,5,61.48,0
28,0,48,13,2,1,4904,45.26,NA,NA,1979,1,54.71,2639,1340,3295,3525,4610,1758,NA,0,2,1158,0,69.3,1,NA,46.03,2,64.64,65.49,60.09,44.67,56.17,1,57.62,NA,38.63,65.38,1570,1429,1078,1407,56.62,5,48.82,59.22,1,3659,41.66,0,0,52.26,4,66.99,0
29,1,42,5,5,0,2446,52.44,3,51.31,NA,1,52.3,957,1930,1606,1473,1046,1319,1,1,4,624,1,53.59,NA,2508,NA,1,54.55,52.01,66.29,62.47,NA,0,57.93,57.66,66.09,63.06,1596,1352,NA,1026,63.92,0,48.49,47.76,0,543,61.02,5,1,50.88,5,60.8,1
30,1,36,0,4,1,1991,45.71,3,41.81,1353,0,53.81,2161,2135,1141,435,1975,1033,1,0,NA,908,1,51.92,1,NA,56.57,5,47.61,52.32,64.3,NA,28.49,NA,53.53,60.69,59.79,NA,688,510,NA,472,71.06,NA,33.25,NA,0,1711,42,3,NA,41.85,5,42.59,0
31,1,39,7,4,0,14413,54.25,3,51.69,1686,1,63.11,3305,4585,2629,2833,3074,2720,1,0,4,NA,1,44.08,1,NA,NA,3,35.19,55.19,NA,50.87,51.18,NA,37.35,75.2,36.32,64.46,1836,2923,2480,1278,54.51,7,63.66,70.08,0,4435,59.38,0,0,64.17,4,54.04,0
32,0,28,4,4,1,285,40.27,4,41.18,1436,0,36.92,772,1340,558,1220,460,738,NA,1,0,456,NA,40.11,1,915,NA,5,31.49,33.2,47.71,38.93,61.8,6,47.24,54.33,33.8,45.32,1915,1633,1202,1201,45.32,1,49.22,26.51,1,214,30.8,5,1,47.53,0,37.61,0
33,1,55,9,6,1,6349,84.57,3,82.27,1614,NA,66.53,1572,NA,3474,3898,3093,2305,NA,0,5,5536,1,62.83,NA,2894,46.37,5,40.79,56.92,51.33,52.22,NA,2,50.98,NA,55.05,72.65,716,866,640,1019,31.72,4,54.2,71.92,1,2122,68.78,1,0,64.47,6,NA,1
34,1,56,8,5,0,3221,52.75,NA,41.65,NA,1,55.4,1726,1834,3854,2746,1713,1462,1,0,3,1673,1,41.79,1,827,52.62,3,54.12,40.18,NA,58.65,47.45,8,48.89,37.68,52.67,51.93,770,1333,1301,1411,47.79,3,70.49,52.75,1,NA,74.55,4,1,56.6,4,47.23,1
35,0,26,9,7,0,2135,NA,3,40.56,2714,1,53.86,1388,NA,771,1192,544,1052,0,NA,1,374,0,53.6,0,1482,44.39,1,33.53,57.62,70.17,68.61,50.91,4,59.11,60.65,56.03,52.61,1075,972,885,NA,NA,6,46.34,NA,0,1544,61.11,3,0,39.69,2,53.83,NA
36,0,29,8,4,1,1068,62.7,4,39.8,789,0,54.59,695,NA,480,489,1575,2447,1,NA,2,866,0,43.13,1,1329,35.9,6,48.43,45.37,NA,51.33,51.34,4,NA,57.46,56.6,39.01,1984,1634,1156,1333,50.61,1,53.46,40,1,713,51.07,5,0,40.92,3,40.05,1
37,0,52,11,1,1,1851,56.43,1,NA,1304,0,50.29,1255,NA,1121,1668,2042,NA,0,1,NA,505,0,57.91,0,1115,55.24,4,46.52,40.69,43.17,39.75,48.19,0,30.14,45.84,60.68,27.38,1295,880,1202,1801,55.69,3,54.59,48.35,0,1509,47.01,2,1,45.8,3,36.47,1
38,0,57,10,4,0,1450,52.13,5,55.67,944,1,65.64,2995,1003,2428,1029,1277,2166,1,1,2,989,1,55.69,1,903,66.87,5,45.11,47.24,52.78,28.02,30.28,1,52.7,NA,43.3,46.69,2299,1446,867,1287,31.05,0,39.31,42.12,0,2188,59.72,2,1,40.19,4,59.7,1
39,0,47,3,6,0,1752,46.55,7,45.55,1067,0,40.14,NA,1571,3264,818,1619,NA,1,0,3,605,1,53.04,1,2589,48.78,4,53.42,54.84,44.52,50.32,NA,0,35.8,34.29,39.5,49.39,1772,832,1427,960,45.02,4,51.66,49.24,0,1057,45.26,3,1,33.49,2,NA,0
40,0,32,9,1,0,2638,45.88,NA,61.7,1789,1,NA,1062,455,NA,1219,1764,1855,0,0,1,2179,0,NA,1,966,53.73,4,43.56,70.97,44.58,42.9,45.69,3,43.2,31.66,46.37,54.42,NA,1702,1648,2255,49.93,4,NA,51.42,1,1958,51.61,2,1,60.63,7,41.64,0
41,1,59,9,7,0,766,33.65,3,51.14,1587,1,39.01,1146,1016,910,2616,825,834,0,1,2,670,0,38.24,NA,NA,53.01,6,NA,67.64,55.08,48.81,57.27,5,52.36,46.91,44.5,53.45,1895,1078,1835,1471,61.14,3,45.22,40.98,0,405,51.73,4,0,25.52,2,44.54,NA
42,0,58,7,5,1,3662,51.93,0,50.08,1752,NA,54.49,2610,3719,1628,1602,8212,1187,0,0,4,NA,0,NA,1,2144,44.19,3,58.42,54.18,44.05,65.35,42.4,NA,58.82,59.84,75.32,57.98,1165,969,1503,1690,40.6,2,52.24,50.84,1,2030,61.11,1,1,57.34,3,51.52,0
43,0,46,13,1,1,1539,34.24,5,29.54,1056,0,31.08,2475,3021,1264,2599,1982,1193,1,0,2,NA,0,46.85,NA,590,37.34,2,58.49,48.68,32.01,44.92,47.39,4,56.55,35.43,58.47,47.29,5190,1687,2319,2410,45.2,3,38.16,49.28,1,810,45.39,4,0,46.31,3,NA,0
44,1,24,11,4,0,2624,61.09,0,50.84,2733,1,60.4,4849,4424,3779,3946,3174,3966,1,0,5,1039,0,54.26,1,1114,45.82,1,62.27,49.72,55.85,41,49.2,3,63.17,66.73,47.54,69.59,1965,2574,1374,1802,32.6,4,60.88,65.2,1,2528,65.11,3,1,62.9,5,49.06,1
45,0,55,5,5,0,5009,56.51,3,63.18,1863,0,49.69,1612,1780,785,1773,575,1607,1,0,3,1293,1,61.09,0,1272,NA,4,42.62,50.89,NA,59.49,48.63,NA,42.59,NA,45.01,65.49,992,915,NA,2024,42.77,4,53.91,65.22,1,4486,62.83,2,1,61.74,5,50.1,1
46,1,20,3,7,0,2087,37.58,4,64.11,893,0,63.46,3925,1255,1127,NA,3316,1074,1,1,5,1157,1,40.96,0,456,54.54,3,55.54,38.21,37.02,52.72,46.58,3,61.42,61.94,57.69,36.31,1041,1022,1031,1033,58.92,7,63.26,40.72,0,654,48.58,3,0,48.51,5,51.93,0
47,1,43,6,6,1,1844,NA,2,62.42,791,0,NA,NA,1023,1260,1376,1003,NA,1,0,2,1529,1,60.24,0,639,60.74,0,67.29,45.48,57.27,45.24,49.14,1,47.77,NA,50.98,41.12,2535,3258,2704,1761,61.51,0,70.84,NA,1,2755,46.26,2,1,43.79,3,44.38,0
48,0,50,12,6,0,1871,56.79,3,55.43,801,0,48.76,947,2007,1447,1432,1987,1010,0,1,4,NA,1,57.54,NA,3576,50.21,4,50.09,57.7,57.97,46.8,NA,2,54.06,34.99,64.51,38.7,1239,1093,NA,1094,56.42,5,65.96,NA,1,471,34.13,4,1,36.6,3,48.47,0
49,1,26,12,5,1,982,47.02,2,77.21,1143,0,52.46,1766,1357,NA,2511,1382,1033,1,1,4,2584,0,52.68,0,1542,47.36,NA,59.09,62.96,NA,39.11,57.57,3,41.84,33.29,55.74,64.59,1627,1145,2527,1282,77.83,2,NA,40.3,1,2173,65.55,3,1,NA,3,47.59,1
50,1,38,8,7,1,4407,50.93,7,50.98,1763,NA,31.1,1465,2184,2939,1099,2525,1912,NA,0,4,2764,0,58.73,0,2358,32.25,2,52.55,62.36,39.23,63.78,NA,6,52.99,44.48,54.14,45.3,2369,2802,1874,1268,55.97,0,42.06,82.63,1,4240,58.35,1,NA,52.2,4,60.05,1
51,1,31,10,3,1,4080,40.29,2,49.4,1550,1,NA,1130,2603,2117,1179,1757,525,1,1,5,2633,0,54.94,0,1647,34.83,1,47.77,55.52,66.99,48.1,41.78,0,43.37,53.12,55.76,67.21,1391,1140,1265,2496,59.44,1,NA,59.51,1,623,44.03,1,1,51.93,3,53.69,1
52,0,32,3,4,1,1986,30.76,6,42.27,757,NA,23.31,NA,822,1210,1947,781,3334,1,1,2,985,NA,25.63,1,NA,50.9,2,45,44.28,49.92,55.32,43.29,0,41.55,53.39,44.81,NA,980,NA,NA,776,42.55,4,39.96,39.94,1,1450,31.6,5,0,33.3,1,33.67,0
53,0,40,10,7,1,1596,52.7,4,46.26,780,0,43.62,442,508,715,725,1217,2699,0,1,4,3059,0,58.08,NA,869,41.42,4,66.37,58.76,62.35,54.48,66.91,4,46.86,36.64,54.98,51.92,1191,1175,NA,1237,38.21,3,54.75,46.89,1,1039,50.95,4,NA,52.41,4,35.19,1
54,0,51,8,1,1,2332,62.15,3,66.34,1477,1,72.63,1385,2318,1987,3521,1430,529,0,0,3,923,1,44.47,0,NA,55.34,4,58.56,54.28,45.31,35.97,48.73,0,51.67,58.16,35.67,48.22,2671,2543,2674,1903,48.51,4,NA,53.04,1,1715,45.78,1,1,62.8,3,68.56,1
55,0,54,7,5,1,1145,NA,3,41.76,1132,1,57.65,576,2036,NA,1208,734,885,1,NA,3,1005,0,43.02,0,1781,50.4,3,73.3,54.59,NA,55.88,53.98,2,45.41,35.4,54.35,41.65,NA,1199,897,672,43.24,3,42.26,48,1,1006,37.36,4,1,50.06,3,51.93,1
56,0,57,8,2,0,3166,34.84,3,47.81,1863,0,44.59,2091,1720,2053,1759,929,NA,NA,0,4,1381,0,NA,1,NA,54.16,0,37.88,68.72,43.89,53.14,67.49,1,34.17,NA,44.94,53.29,2575,2088,1857,1384,47.96,4,58.45,54.77,1,879,43.87,NA,1,45.59,2,43.21,1
57,0,23,8,5,0,3926,66.97,3,53.24,677,1,52.42,2999,1003,2414,1904,2834,NA,1,1,4,2165,0,49.33,0,1281,51.4,2,63.65,52.04,58.48,58.98,43.08,4,64.6,34.11,48.99,44.36,1145,973,1191,2140,44.59,5,60.53,NA,0,1573,47.57,2,1,62.81,3,62.56,NA
58,0,58,10,3,0,2662,32.94,1,NA,1867,1,61.43,1498,1621,1693,1474,1896,1236,1,0,4,3080,1,45.76,1,2042,48.72,2,44.59,52.51,52.85,50.24,NA,2,45.14,51.17,44.79,50.96,1508,1751,788,NA,52.96,4,69.84,50.23,1,712,61.98,3,1,44.57,3,NA,0
59,0,19,7,5,1,1979,45.05,5,33.56,1726,0,53.22,1984,2175,963,1133,931,2488,1,0,1,1419,0,42.7,0,841,41.07,4,44.66,61.95,45.23,49.01,38.45,3,NA,NA,44.64,50.16,1031,675,1169,632,43.03,4,45.74,67.43,1,1168,66.15,2,0,50.91,5,60.29,0
60,0,59,14,4,1,2098,43.56,4,30.43,589,0,36.2,814,649,789,NA,1048,753,1,1,4,1896,0,46.08,0,595,61.73,5,44.1,27.03,40.36,46.05,50.68,6,53.99,52.17,57.46,40,407,428,NA,345,48.21,3,56.93,46.21,0,3407,44.47,4,1,70.13,2,55.12,1
61,0,49,9,2,0,1368,34.76,2,48.29,1077,0,NA,951,3031,885,2006,2466,NA,0,1,1,NA,0,NA,1,766,46.66,4,37.53,67.7,37.27,25.89,34.78,3,57.33,45.01,NA,42.13,1605,1555,1196,1569,63.12,4,55.02,46.77,0,1027,45.59,4,0,63.22,0,48.79,0
62,1,39,11,3,0,3939,63.18,2,71.47,6930,1,59.49,1715,1881,829,1066,606,1150,1,1,2,1471,NA,74.45,NA,NA,36.48,0,51.25,55.35,53.43,NA,59.08,3,46.38,49.74,NA,60.62,NA,4031,2379,2707,59.52,4,68.88,63.24,1,1186,50.94,3,NA,60.8,4,NA,1
63,1,61,10,4,1,2272,55.88,6,53.96,1437,0,49.84,2187,531,1625,2196,639,994,0,0,3,1404,0,44.95,0,1471,52.54,3,66.12,48.84,42.37,64.32,35.15,3,36.06,60.86,63.51,42.14,1489,1656,810,NA,47.9,3,60.15,46.78,1,1697,73.05,1,NA,56.79,5,61.92,0
64,1,27,7,6,0,1457,57.31,7,17.75,537,0,37.12,1081,1708,1496,3169,1878,NA,1,1,1,NA,0,60.17,1,858,48.47,5,45.88,NA,59.75,54.44,32.67,3,49.53,25.63,55.97,54.4,813,970,873,777,47.07,4,33.5,NA,0,1067,39.58,3,1,40.13,3,29.68,1
65,0,40,7,5,0,1297,57.3,3,40.47,425,1,NA,741,1569,1089,1190,1018,1807,0,1,0,749,1,NA,1,588,40.12,7,38.45,43.15,49.51,46.81,NA,2,42.94,NA,55.66,54.85,1601,976,707,NA,40.41,NA,51.13,NA,0,932,41.25,3,0,58.91,3,36.93,1
66,1,53,9,3,0,2257,47.14,3,47.81,1620,0,62.27,6020,2403,1529,2150,1750,1988,0,0,6,1349,1,56.24,1,2266,46.1,4,NA,31.63,44.13,37.37,NA,5,50.18,50.55,29.43,66.14,846,944,1309,992,43.3,4,35.83,53.49,0,626,37.33,4,1,56.7,0,40.09,0
67,0,63,6,4,0,2508,45.5,3,NA,1374,1,57.55,1775,2172,1523,1774,1357,1828,0,1,1,986,0,48.12,NA,NA,58.9,5,50.12,NA,65.66,57.35,33.66,4,54.09,39.82,57.01,35.77,1080,1367,1123,933,54.71,6,44.62,55.92,1,3419,64.77,2,0,56.64,4,46.94,1
68,1,61,17,4,1,3279,NA,0,38.08,719,1,32.35,NA,2276,2253,NA,2483,1622,1,0,5,1772,0,51.23,1,2359,57.85,2,66.61,37.9,40.69,56.51,38.91,6,39.91,50.52,41.4,47.8,1203,1444,1592,1175,45.68,2,29.25,49.97,1,1693,56.06,3,0,49.63,3,50.32,NA
69,0,24,8,3,1,518,43.07,0,54.79,3189,1,39.51,1889,525,3025,1015,780,268,1,0,0,833,1,44.26,0,416,42.97,3,32.82,44.21,NA,NA,39.15,2,46.88,41.87,NA,34.66,NA,1635,1187,1845,39.04,NA,29.13,42.46,0,1145,49.83,6,1,42.78,2,36.2,1
70,1,43,1,4,0,1423,41.88,3,35.77,2086,0,61.58,1132,687,1109,2665,1095,1714,1,0,3,1620,0,49.18,1,NA,67.96,2,63.81,45.26,55.48,62.33,NA,4,34.89,51.56,60.25,50.54,NA,1903,1276,771,41.36,4,40.94,57.29,1,1698,49.58,2,0,54.16,3,62.05,0
71,0,27,9,8,1,424,54.16,5,53.03,344,1,45.61,1954,1536,1562,709,1099,1146,1,1,2,1955,0,34.64,1,1141,41.47,4,59.51,40.63,55.59,47.28,67.86,2,58.68,62.59,46.85,45.81,732,838,874,632,51.39,3,56.18,37.57,0,823,35.91,5,1,33.2,NA,44.16,0
72,0,68,9,4,0,1471,49.07,4,45.03,2057,1,54.16,1263,1401,NA,481,1012,654,0,1,1,1009,1,39.9,0,1766,64.64,4,39.18,61.5,55.76,28.24,53.4,2,46.45,56.09,42.41,53.34,2437,2019,2623,3672,52.14,4,54.37,44.19,0,932,43.31,6,NA,39.16,3,41.77,0
73,1,37,4,4,1,1671,41.36,2,58.7,2155,1,55.26,1120,1529,2004,976,1014,1263,1,0,0,1058,1,58.12,0,2299,59.42,2,NA,50.6,NA,62.62,52.1,1,67.21,48.44,49.66,35.2,3453,2407,3567,3041,66.92,6,54.95,43.63,0,423,42.1,7,0,33.32,0,23.04,1
74,0,20,8,5,1,3172,40.84,4,62.33,2085,1,33.23,3441,2878,2084,1371,6419,NA,0,1,4,2285,1,53.3,1,853,61.82,1,41.9,49.98,57.31,46.49,NA,2,40.25,37.34,31.4,NA,1319,1472,2056,2284,NA,5,52.9,50.07,1,2259,54.25,4,NA,45.77,3,51.05,NA
75,0,30,12,3,1,3383,48.39,2,46.76,1100,0,42.38,1042,665,868,833,1880,NA,NA,1,1,1064,1,56.94,NA,490,65.96,0,60.75,52.71,60.26,75.94,43.82,4,53.51,52.25,62.18,45.86,1234,703,872,1197,53.98,5,61.9,56.56,1,1824,60.31,1,0,59.4,7,41.8,1
76,0,48,9,4,0,1702,69.59,1,88.92,1462,1,50.79,3892,1108,1310,1239,1604,1545,0,1,4,1170,0,41.31,0,2143,NA,4,55.8,61.74,64.94,65.45,NA,1,44.21,66.34,60.3,61.65,NA,3160,NA,2691,54.89,7,61.62,51.96,NA,NA,51.71,3,1,52.74,1,48.63,1
77,0,30,7,4,0,2559,45.7,2,46.09,827,0,45.31,1116,2057,2705,1490,1613,625,0,1,2,735,1,13.02,0,454,52.37,1,58.45,39.06,43.87,42.53,57.79,4,49.78,51.62,41.65,40.6,1426,1485,570,1639,48.22,1,50.5,54.68,1,1940,67.12,2,0,56.37,3,53.31,0
78,1,36,10,4,1,1403,49.09,3,51.91,2955,0,72.82,660,1110,1273,1121,1206,NA,1,1,3,726,0,58.36,NA,1170,41.79,2,51.13,61.09,44.87,58,56.31,3,46.77,42.1,42.59,54.19,774,1367,984,981,53.51,7,56.85,60.85,NA,3585,54.11,2,0,66.76,3,53.5,1
79,0,48,1,4,0,1100,NA,7,30.46,2407,0,52.68,1474,1316,2614,1615,2436,814,0,0,2,NA,0,52.85,0,NA,49.03,4,44.48,36.97,63.96,50.81,48.43,4,57,24.75,50.12,57.38,1156,1189,519,920,33.42,1,61.6,44.89,1,1334,45.68,NA,1,44.44,1,43.88,0
80,0,43,14,1,0,975,53.97,3,56.23,1229,1,57.77,1384,416,843,428,861,2837,NA,0,3,1338,0,49.05,0,4136,49.61,3,61.4,61.15,57.41,36.39,49.53,2,43.14,44.21,63.85,34.64,337,246,373,275,50.94,NA,38.59,44.75,1,1264,NA,4,NA,60.08,3,41.57,0
